config,neigh,comp,instance,run,lower,upper,midpoint
n1_HC,n1,HC,F0.15.0.la38_06,13,1182.0,1328.0,1255.0
n1_HC,n1,HC,F0.15.0.la38_06,14,1159.0,1306.0,1232.5
n1_HC,n1,HC,F0.15.0.la38_06,15,1168.0,1322.0,1245.0
n1_HC,n1,HC,F0.15.0.la38_06,16,1157.0,1331.0,1244.0
n1_HC,n1,HC,F0.15.0.la38_06,17,1178.0,1331.0,1254.5
n1_HC,n1,HC,F0.15.0.la38_06,18,1174.0,1339.0,1256.5
n1_HC,n1,HC,F0.15.0.la38_06,19,1187.0,1344.0,1265.5
n1_HC,n1,HC,F0.15.0.la38_06,20,1183.0,1347.0,1265.0
n1_HC,n1,HC,F0.15.0.la38_06,21,1204.0,1343.0,1273.5
n1_HC,n1,HC,F0.15.0.la38_06,22,1170.0,1322.0,1246.0
n1_HC,n1,HC,F0.15.0.la38_06,23,1182.0,1347.0,1264.5
n1_HC,n1,HC,F0.15.0.la38_06,24,1195.0,1357.0,1276.0
n1_HC,n1,HC,F0.15.0.la38_06,25,1168.0,1330.0,1249.0
n1_HC,n1,HC,F0.15.0.la38_06,26,1146.0,1313.0,1229.5
n1_HC,n1,HC,F0.15.0.la38_06,27,1161.0,1313.0,1237.0
n1_HC,n1,HC,F0.15.0.la38_06,28,1197.0,1323.0,1260.0
n1_HC,n1,HC,F0.15.0.la38_06,29,1158.0,1306.0,1232.0
n1_HC,n1,HC,F0.15.0.la38_06,30,1170.0,1330.0,1250.0
n1_HC,n1,HC,F0.15.0.la40_05,1,1154.0,1319.0,1236.5
n1_HC,n1,HC,F0.15.0.la40_05,2,1167.0,1328.0,1247.5
n1_HC,n1,HC,F0.15.0.la40_05,3,1174.0,1334.0,1254.0
n1_HC,n1,HC,F0.15.0.la40_05,4,1176.0,1362.0,1269.0
n1_HC,n1,HC,F0.15.0.la40_05,5,1161.0,1335.0,1248.0
n1_HC,n1,HC,F0.15.0.la40_05,6,1157.0,1337.0,1247.0
n1_HC,n1,HC,F0.15.0.la40_05,7,1151.0,1337.0,1244.0
n1_HC,n1,HC,F0.15.0.la40_05,8,1176.0,1362.0,1269.0
n1_HC,n1,HC,F0.15.0.la40_05,9,1156.0,1337.0,1246.5
n1_HC,n1,HC,F0.15.0.la40_05,10,1144.0,1323.0,1233.5
