neigh,instance,group,n_runs,best_E,avg_E,sd_E,med_rt
n3,tai50_15_03.F.15_01,tai50_15,30,2731.0,2764.9167,23.4061,899.64
n3,tai50_15_04.F.15_01,tai50_15,30,2839.0,2852.25,14.2325,590.726
n3,tai50_15_05.F.15_01,tai50_15,30,2766.0,2808.05,22.9938,897.0
n3,tai50_15_06.F.15_01,tai50_15,30,2803.0,2847.6333,21.3259,896.992
n3,tai50_15_07.F.15_01,tai50_15,30,2943.0,2968.0667,24.2134,897.312
n3,tai50_15_08.F.15_01,tai50_15,30,2905.0,2922.1833,16.1504,803.156
n3,tai50_15_09.F.15_01,tai50_15,30,2701.0,2770.45,28.1518,898.321
n3,tai50_15_10.F.15_01,tai50_15,30,2753.0,2788.95,20.1205,898.524
n3,tai50_20_01.F.15_01,tai50_20,30,2989.5,3053.3167,30.6775,897.735
n3,tai50_20_02.F.15_01,tai50_20,30,3099.0,3140.2333,28.2067,897.922
n3,tai50_20_03.F.15_01,tai50_20,30,2885.5,2926.3,25.1676,895.907
n3,tai50_20_04.F.15_01,tai50_20,30,2822.5,2850.6333,19.5271,899.929
n3,tai50_20_05.F.15_01,tai50_20,30,2864.5,2923.0333,29.56,897.008
n3,tai50_20_06.F.15_01,tai50_20,30,2977.5,3012.7333,19.2281,897.188
n3,tai50_20_07.F.15_01,tai50_20,30,2979.0,3029.1167,29.8507,897.649
n3,tai50_20_08.F.15_01,tai50_20,30,2886.5,2930.75,30.1464,898.203
n3,tai50_20_09.F.15_01,tai50_20,30,3141.0,3192.1833,29.5671,897.524
n3,tai50_20_10.F.15_01,tai50_20,30,3175.5,3213.4667,20.7655,897.188
n8,F0.15.0.abz7_06,abz7,30,668.0,676.15,3.9021,57.203
n8,F0.15.0.abz8_05,abz8,30,676.0,687.3,5.7709,65.57
n8,F0.15.0.abz9_10,abz9,30,692.5,701.3833,5.338,67.648
n8,F0.15.0.ft10_10,ft10,30,935.5,940.5167,5.4194,12.273
n8,F0.15.0.ft20_05,ft20,30,1166.0,1167.9,4.0288,17.094
n8,F0.15.0.la21_04,la21,30,1052.0,1060.4667,7.1135,19.93
n8,F0.15.0.la24_03,la24,30,940.5,948.2667,5.4815,20.453
n8,F0.15.0.la25_04,la25,30,981.5,988.8333,6.0917,18.938
n8,F0.15.0.la27_09,la27,30,1242.5,1256.5833,5.4852,31.469
n8,F0.15.0.la29_03,la29,30,1174.5,1188.8167,9.2536,41.727
n8,F0.15.0.la38_06,la38,30,1204.5,1218.5167,9.3675,32.984
n8,F0.15.0.la40_05,la40,30,1229.5,1236.9333,6.0824,28.82
n8,tai15_15_01.F.15_01,tai15_15,30,1246.5,1256.6833,7.0996,34.258
n8,tai15_15_02.F.15_01,tai15_15,30,1255.0,1263.5833,5.8562,36.797
n8,tai15_15_03.F.15_01,tai15_15,30,1234.5,1245.7667,5.2862,35.367
n8,tai15_15_04.F.15_01,tai15_15,30,1179.0,1187.4,7.9853,37.391
