algo,inst,arm,t,bestcmax
abce3,ft10,V2H,2.8,997.00
abce3,ft10,V2H,3.0,997.00
abce3,ft10,V2H,3.2,997.00
abce3,ft10,V2H,3.4,997.00
abce3,ft10,V2H,3.6,997.00
abce3,ft10,V2H,3.8,997.00
abce3,ft10,V2H,4.0,997.00
abce3,ft10,V2H,4.2,997.00
abce3,ft10,V2H,4.4,997.00
abce3,ft10,V2H,4.6,997.00
abce3,ft10,V2H,4.8,997.00
abce3,ft10,V2H,5.0,958.30
abce3,ft10,V2H,5.2,955.20
abce3,ft10,V2H,5.4,955.20
abce3,ft10,V2H,5.6,955.20
abce3,ft10,V2H,5.8,955.20
abce3,ft10,V2H,6.0,955.20
abce3,ft10,V2H,6.2,955.20
abce3,ft10,V2H,6.4,955.20
abce3,ft10,V2H,6.6,955.20
abce3,ft10,V2H,6.8,955.20
abce3,ft10,V2H,7.0,955.20
abce3,ft10,V2H,7.2,955.20
abce3,ft10,V2H,7.4,955.20
abce3,ft10,V2H,7.6,955.20
abce3,ft10,V2H,7.8,955.20
abce3,ft10,V2H,8.0,955.20
abce3,ft10,V2H,8.2,955.20
abce3,ft10,V2H,8.4,955.20
abce3,ft10,V2H,8.6,955.20
abce3,ft10,V2H,8.8,955.20
abce3,ft10,V2H,9.0,955.20
abce3,ft10,V2H,9.2,955.20
abce3,ft10,V2H,9.4,955.20
abce3,ft10,V2H,9.6,955.20
abce3,ft10,V2H,9.8,955.20
abce3,ft10,V2H,10.0,955.20
abce3,ft10,V2H,10.2,964.00
abce3,ft10,V2H,10.4,964.00
abce3,ft10,V2H,10.6,964.00
abce3,ft10,V2H,10.8,964.00
abce3,ft10,V2H,11.0,964.00
abce3,ft10,V2H,11.2,964.00
abce3,ft10,V2H,11.4,964.00
abce3,ft10,V2H,11.6,964.00
abce3,ft10,V2H,11.8,964.00
abce3,ft10,V2H,12.0,964.00
abce3,ft10,V2H,12.2,964.00
abce3,ft10,V2H,12.4,964.00
abce3,ft10,V2H,12.6,964.00
abce3,ft10,V2H,12.8,964.00
abce3,ft10,V2H,13.0,964.00
abce3,ft10,V2H,13.2,964.00
abce3,ft10,V2H,13.4,964.00
abce3,ft10,V2H,13.6,964.00
abce3,ft10,V2H,13.8,964.00
abce3,ft10,V2H,14.0,964.00
abce3,ft10,V2H,14.2,964.00
abce3,ft10,V2H,14.4,964.00
abce3,ft10,V2H,14.6,964.00
abce3,ft10,V2H,14.8,964.00
abce3,ft10,V2H,15.0,964.00
abce3,ft10,V2H,15.2,964.00
abce3,ft10,V2H,15.4,964.00
abce3,ft10,V2H,15.6,964.00
abce3,ft10,V2H,15.8,964.00
abce3,ft10,V2H,16.0,964.00
abce3,ft10,V2H,16.2,964.00
abce3,ft10,V2H,16.4,964.00
abce3,ft10,V2H,16.6,964.00
abce3,ft10,V2H,16.8,964.00
abce3,ft10,V2H,17.0,964.00
abce3,ft10,V2H,17.2,964.00
abce3,ft10,V2H,17.4,964.00
abce3,ft10,V2H,17.6,964.00
abce3,ft10,V2H,17.8,964.00
abce3,ft10,V2H,18.0,964.00
abce3,ft10,V2H,18.2,964.00
abce3,ft10,V2H,18.4,964.00
abce3,ft10,V2H,18.6,964.00
abce3,ft10,V2H,18.8,964.00
abce3,ft10,V2H,19.0,964.00
abce3,ft10,V2H,19.2,964.00
abce3,ft10,V2H,19.4,964.00
abce3,ft10,V2H,19.6,964.00
abce3,ft10,V2H,19.8,964.00
abce3,ft10,V2H,20.0,964.00
abce3,ft10,V2H,20.2,952.10
abce3,ft10,V2H,20.4,952.10
abce3,ft10,V2H,20.6,952.10
abce3,ft10,V2H,20.8,952.10
abce3,ft10,V2H,21.0,952.10
abce3,ft10,V2H,21.2,952.10
abce3,ft10,V2H,21.4,952.10
abce3,ft10,V2H,21.6,952.10
abce3,ft10,V2H,21.8,952.10
abce3,ft10,V2H,22.0,952.10
abce3,ft10,V2H,22.2,952.10
abce3,ft10,V2H,22.4,952.10
abce3,ft10,V2H,22.6,952.10
abce3,ft10,V2H,22.8,952.10
abce3,ft10,V2H,23.0,952.10
abce3,ft10,V2H,23.2,952.10
