algo,inst,run,t,v
ga,ft10,26,0.016,1156.500
ga,ft10,26,5.000,939.000
ga,ft10,26,10.000,939.000
ga,ft10,26,15.000,939.000
ga,ft10,26,20.000,939.000
ga,ft10,26,25.000,939.000
ga,ft10,26,30.000,939.000
ga,ft10,26,35.000,939.000
ga,ft10,26,40.000,939.000
ga,ft10,26,45.000,939.000
ga,ft10,26,50.000,939.000
ga,ft10,26,55.000,939.000
ga,ft10,26,60.000,939.000
ga,ft10,27,0.000,1145.500
ga,ft10,27,5.000,958.000
ga,ft10,27,10.000,955.000
ga,ft10,27,15.000,952.500
ga,ft10,27,20.000,952.500
ga,ft10,27,25.000,952.500
ga,ft10,27,30.000,952.500
ga,ft10,27,35.000,952.500
ga,ft10,27,40.000,952.500
ga,ft10,27,45.000,952.500
ga,ft10,27,50.000,952.500
ga,ft10,27,55.000,952.500
ga,ft10,27,60.000,952.500
ga,ft10,28,0.000,1082.000
ga,ft10,28,5.000,947.000
ga,ft10,28,10.000,947.000
ga,ft10,28,15.000,935.500
ga,ft10,28,20.000,935.500
ga,ft10,28,25.000,935.500
ga,ft10,28,30.000,935.500
ga,ft10,28,35.000,935.500
ga,ft10,28,40.000,935.500
ga,ft10,28,45.000,935.500
ga,ft10,28,50.000,935.500
ga,ft10,28,55.000,935.500
ga,ft10,28,60.000,935.500
ga,ft10,29,0.000,1148.000
ga,ft10,29,5.000,939.000
ga,ft10,29,10.000,939.000
ga,ft10,29,15.000,939.000
ga,ft10,29,20.000,939.000
ga,ft10,29,25.000,939.000
ga,ft10,29,30.000,939.000
ga,ft10,29,35.000,939.000
ga,ft10,29,40.000,939.000
ga,ft10,29,45.000,939.000
ga,ft10,29,50.000,939.000
ga,ft10,29,55.000,939.000
ga,ft10,29,60.000,939.000
ga,ft10,30,0.000,1177.500
ga,ft10,30,5.000,950.500
ga,ft10,30,10.000,950.000
ga,ft10,30,15.000,950.000
ga,ft10,30,20.000,950.000
ga,ft10,30,25.000,950.000
ga,ft10,30,30.000,950.000
ga,ft10,30,35.000,950.000
ga,ft10,30,40.000,950.000
ga,ft10,30,45.000,950.000
ga,ft10,30,50.000,950.000
ga,ft10,30,55.000,950.000
ga,ft10,30,60.000,950.000
ga,tai15_15_01,1,0.047,1572.000
ga,tai15_15_01,1,5.000,1311.500
ga,tai15_15_01,1,10.000,1297.000
ga,tai15_15_01,1,15.000,1297.000
ga,tai15_15_01,1,20.000,1289.500
ga,tai15_15_01,1,25.000,1287.500
ga,tai15_15_01,1,30.000,1287.500
ga,tai15_15_01,1,35.000,1287.500
ga,tai15_15_01,1,40.000,1287.500
ga,tai15_15_01,1,45.000,1287.500
ga,tai15_15_01,1,50.000,1287.500
ga,tai15_15_01,1,55.000,1287.500
ga,tai15_15_01,1,60.000,1287.500
ga,tai15_15_01,2,0.031,1589.000
ga,tai15_15_01,2,5.000,1300.500
ga,tai15_15_01,2,10.000,1284.000
ga,tai15_15_01,2,15.000,1284.000
ga,tai15_15_01,2,20.000,1284.000
ga,tai15_15_01,2,25.000,1284.000
ga,tai15_15_01,2,30.000,1284.000
ga,tai15_15_01,2,35.000,1284.000
ga,tai15_15_01,2,40.000,1284.000
ga,tai15_15_01,2,45.000,1284.000
ga,tai15_15_01,2,50.000,1284.000
ga,tai15_15_01,2,55.000,1284.000
ga,tai15_15_01,2,60.000,1284.000
ga,tai15_15_01,3,0.031,1536.500
ga,tai15_15_01,3,5.000,1294.000
ga,tai15_15_01,3,10.000,1289.000
ga,tai15_15_01,3,15.000,1286.500
ga,tai15_15_01,3,20.000,1286.000
ga,tai15_15_01,3,25.000,1286.000
ga,tai15_15_01,3,30.000,1286.000
ga,tai15_15_01,3,35.000,1286.000
ga,tai15_15_01,3,40.000,1286.000
ga,tai15_15_01,3,45.000,1286.000
ga,tai15_15_01,3,50.000,1286.000
ga,tai15_15_01,3,55.000,1286.000
ga,tai15_15_01,3,60.000,1286.000
ga,tai15_15_01,4,0.031,1570.500
ga,tai15_15_01,4,5.000,1316.500
ga,tai15_15_01,4,10.000,1311.500
ga,tai15_15_01,4,15.000,1311.500
ga,tai15_15_01,4,20.000,1311.500
ga,tai15_15_01,4,25.000,1311.500
ga,tai15_15_01,4,30.000,1311.500
ga,tai15_15_01,4,35.000,1311.500
ga,tai15_15_01,4,40.000,1311.500
ga,tai15_15_01,4,45.000,1311.500
ga,tai15_15_01,4,50.000,1311.500
ga,tai15_15_01,4,55.000,1311.500
ga,tai15_15_01,4,60.000,1311.500
ga,tai15_15_01,5,0.016,1558.000
ga,tai15_15_01,5,5.000,1294.000
ga,tai15_15_01,5,10.000,1282.000
ga,tai15_15_01,5,15.000,1276.000
ga,tai15_15_01,5,20.000,1276.000
ga,tai15_15_01,5,25.000,1275.000
ga,tai15_15_01,5,30.000,1275.000
ga,tai15_15_01,5,35.000,1275.000
ga,tai15_15_01,5,40.000,1275.000
ga,tai15_15_01,5,45.000,1275.000
ga,tai15_15_01,5,50.000,1275.000
ga,tai15_15_01,5,55.000,1275.000
ga,tai15_15_01,5,60.000,1275.000
ga,tai15_15_01,6,0.016,1566.500
ga,tai15_15_01,6,5.000,1285.000
ga,tai15_15_01,6,10.000,1285.000
ga,tai15_15_01,6,15.000,1285.000
ga,tai15_15_01,6,20.000,1285.000
ga,tai15_15_01,6,25.000,1285.000
ga,tai15_15_01,6,30.000,1285.000
ga,tai15_15_01,6,35.000,1285.000
ga,tai15_15_01,6,40.000,1285.000
ga,tai15_15_01,6,45.000,1285.000
ga,tai15_15_01,6,50.000,1285.000
ga,tai15_15_01,6,55.000,1285.000
ga,tai15_15_01,6,60.000,1285.000
ga,tai15_15_01,7,0.016,1567.000
ga,tai15_15_01,7,5.000,1285.000
ga,tai15_15_01,7,10.000,1284.000
ga,tai15_15_01,7,15.000,1284.000
ga,tai15_15_01,7,20.000,1284.000
ga,tai15_15_01,7,25.000,1284.000
ga,tai15_15_01,7,30.000,1284.000
ga,tai15_15_01,7,35.000,1284.000
ga,tai15_15_01,7,40.000,1284.000
ga,tai15_15_01,7,45.000,1284.000
ga,tai15_15_01,7,50.000,1284.000
ga,tai15_15_01,7,55.000,1284.000
ga,tai15_15_01,7,60.000,1284.000
ga,tai15_15_01,8,0.031,1522.500
ga,tai15_15_01,8,5.000,1300.500
ga,tai15_15_01,8,10.000,1296.500
ga,tai15_15_01,8,15.000,1296.500
ga,tai15_15_01,8,20.000,1296.500
ga,tai15_15_01,8,25.000,1296.500
ga,tai15_15_01,8,30.000,1296.500
ga,tai15_15_01,8,35.016,1296.500
