algo,inst,clase,arm,run,ecmax
ga,tai15_15_01,15x15,GT,2,1319.5
ga,tai15_15_01,15x15,GT,3,1318.0
ga,tai15_15_01,15x15,GT,4,1330.0
ga,tai15_15_01,15x15,GT,5,1319.5
ga,tai15_15_01,15x15,GT,6,1313.5
ga,tai15_15_01,15x15,GT,7,1366.0
ga,tai15_15_01,15x15,GT,8,1366.5
ga,tai15_15_01,15x15,GT,9,1323.0
ga,tai15_15_01,15x15,GT,10,1319.5
ga,tai15_15_01,15x15,GT,11,1317.0
ga,tai15_15_01,15x15,GT,12,1318.0
ga,tai15_15_01,15x15,GT,13,1308.0
ga,tai15_15_01,15x15,GT,14,1319.5
ga,tai15_15_01,15x15,GT,15,1313.5
ga,tai15_15_01,15x15,GT,16,1320.5
ga,tai15_15_01,15x15,GT,17,1293.0
ga,tai15_15_01,15x15,GT,18,1318.0
ga,tai15_15_01,15x15,GT,19,1319.5
ga,tai15_15_01,15x15,GT,20,1319.0
ga,tai15_15_01,15x15,GT,21,1282.0
ga,tai15_15_01,15x15,GT,22,1319.5
ga,tai15_15_01,15x15,GT,23,1316.0
ga,tai15_15_01,15x15,GT,24,1323.0
ga,tai15_15_01,15x15,GT,25,1299.0
ga,tai15_15_01,15x15,GT,26,1366.0
ga,tai15_15_01,15x15,GT,27,1319.0
ga,tai15_15_01,15x15,GT,28,1319.0
ga,tai15_15_01,15x15,GT,29,1323.0
ga,tai15_15_01,15x15,GT,30,1319.5
ga,tai15_15_01,15x15,GP,1,1323.0
ga,tai15_15_01,15x15,GP,2,1323.0
ga,tai15_15_01,15x15,GP,3,1323.0
ga,tai15_15_01,15x15,GP,4,1289.5
ga,tai15_15_01,15x15,GP,5,1294.0
ga,tai15_15_01,15x15,GP,6,1323.0
ga,tai15_15_01,15x15,GP,7,1311.0
ga,tai15_15_01,15x15,GP,8,1323.0
ga,tai15_15_01,15x15,GP,9,1323.0
ga,tai15_15_01,15x15,GP,10,1323.0
ga,tai15_15_01,15x15,GP,11,1323.0
ga,tai15_15_01,15x15,GP,12,1301.5
ga,tai15_15_01,15x15,GP,13,1323.0
ga,tai15_15_01,15x15,GP,14,1323.0
ga,tai15_15_01,15x15,GP,15,1323.0
ga,tai15_15_01,15x15,GP,16,1323.0
ga,tai15_15_01,15x15,GP,17,1323.0
ga,tai15_15_01,15x15,GP,18,1319.0
ga,tai15_15_01,15x15,GP,19,1323.0
ga,tai15_15_01,15x15,GP,20,1323.0
ga,tai15_15_01,15x15,GP,21,1318.0
ga,tai15_15_01,15x15,GP,22,1323.0
ga,tai15_15_01,15x15,GP,23,1323.0
ga,tai15_15_01,15x15,GP,24,1323.0
ga,tai15_15_01,15x15,GP,25,1323.0
ga,tai15_15_01,15x15,GP,26,1289.0
ga,tai15_15_01,15x15,GP,27,1323.0
ga,tai15_15_01,15x15,GP,28,1323.0
ga,tai15_15_01,15x15,GP,29,1294.5
ga,tai15_15_01,15x15,GP,30,1323.0
ga,tai15_15_01,15x15,MIX,1,1270.5
ga,tai15_15_01,15x15,MIX,2,1272.5
ga,tai15_15_01,15x15,MIX,3,1281.0
ga,tai15_15_01,15x15,MIX,4,1281.0
ga,tai15_15_01,15x15,MIX,5,1262.0
ga,tai15_15_01,15x15,MIX,6,1281.5
ga,tai15_15_01,15x15,MIX,7,1323.0
ga,tai15_15_01,15x15,MIX,8,1266.5
ga,tai15_15_01,15x15,MIX,9,1270.0
ga,tai15_15_01,15x15,MIX,10,1282.0
ga,tai15_15_01,15x15,MIX,11,1274.5
ga,tai15_15_01,15x15,MIX,12,1270.0
ga,tai15_15_01,15x15,MIX,13,1275.0
ga,tai15_15_01,15x15,MIX,14,1281.0
ga,tai15_15_01,15x15,MIX,15,1296.5
ga,tai15_15_01,15x15,MIX,16,1269.0
ga,tai15_15_01,15x15,MIX,17,1270.0
ga,tai15_15_01,15x15,MIX,18,1286.0
ga,tai15_15_01,15x15,MIX,19,1273.0
ga,tai15_15_01,15x15,MIX,20,1273.0
ga,tai15_15_01,15x15,MIX,21,1271.0
ga,tai15_15_01,15x15,MIX,22,1270.0
ga,tai15_15_01,15x15,MIX,23,1272.0
ga,tai15_15_01,15x15,MIX,24,1273.0
ga,tai15_15_01,15x15,MIX,25,1266.0
ga,tai15_15_01,15x15,MIX,26,1275.0
ga,tai15_15_01,15x15,MIX,27,1275.5
ga,tai15_15_01,15x15,MIX,28,1270.5
ga,tai15_15_01,15x15,MIX,29,1281.0
ga,tai15_15_01,15x15,MIX,30,1270.0
ga,tai15_15_02,15x15,A0,1,1285.5
ga,tai15_15_02,15x15,A0,2,1288.0
ga,tai15_15_02,15x15,A0,3,1278.0
ga,tai15_15_02,15x15,A0,4,1273.5
ga,tai15_15_02,15x15,A0,5,1282.5
ga,tai15_15_02,15x15,A0,6,1280.0
ga,tai15_15_02,15x15,A0,7,1289.5
ga,tai15_15_02,15x15,A0,8,1289.5
ga,tai15_15_02,15x15,A0,9,1286.5
ga,tai15_15_02,15x15,A0,10,1289.5
ga,tai15_15_02,15x15,A0,11,1280.0
ga,tai15_15_02,15x15,A0,12,1273.5
ga,tai15_15_02,15x15,A0,13,1289.5
ga,tai15_15_02,15x15,A0,14,1273.5
ga,tai15_15_02,15x15,A0,15,1292.0
ga,tai15_15_02,15x15,A0,16,1273.5
ga,tai15_15_02,15x15,A0,17,1292.0
ga,tai15_15_02,15x15,A0,18,1292.0
ga,tai15_15_02,15x15,A0,19,1295.0
ga,tai15_15_02,15x15,A0,20,1283.0
ga,tai15_15_02,15x15,A0,21,1288.0
ga,tai15_15_02,15x15,A0,22,1285.0
ga,tai15_15_02,15x15,A0,23,1273.5
ga,tai15_15_02,15x15,A0,24,1282.5
ga,tai15_15_02,15x15,A0,25,1273.5
ga,tai15_15_02,15x15,A0,26,1294.0
ga,tai15_15_02,15x15,A0,27,1286.0
ga,tai15_15_02,15x15,A0,28,1280.0
ga,tai15_15_02,15x15,A0,29,1273.5
ga,tai15_15_02,15x15,A0,30,1282.0
ga,tai15_15_02,15x15,V2H,1,1289.5
ga,tai15_15_02,15x15,V2H,2,1289.5
ga,tai15_15_02,15x15,V2H,3,1281.0
ga,tai15_15_02,15x15,V2H,4,1301.0
ga,tai15_15_02,15x15,V2H,5,1293.0
ga,tai15_15_02,15x15,V2H,6,1295.0
ga,tai15_15_02,15x15,V2H,7,1292.0
ga,tai15_15_02,15x15,V2H,8,1297.0
ga,tai15_15_02,15x15,V2H,9,1287.5
ga,tai15_15_02,15x15,V2H,10,1287.5
ga,tai15_15_02,15x15,V2H,11,1287.5
ga,tai15_15_02,15x15,V2H,12,1286.5
ga,tai15_15_02,15x15,V2H,13,1293.0
ga,tai15_15_02,15x15,V2H,14,1299.5
ga,tai15_15_02,15x15,V2H,15,1298.0
ga,tai15_15_02,15x15,V2H,16,1289.5
ga,tai15_15_02,15x15,V2H,17,1307.0
ga,tai15_15_02,15x15,V2H,18,1282.0
ga,tai15_15_02,15x15,V2H,19,1307.0
ga,tai15_15_02,15x15,V2H,20,1289.5
ga,tai15_15_02,15x15,V2H,21,1293.0
ga,tai15_15_02,15x15,V2H,22,1286.5
ga,tai15_15_02,15x15,V2H,23,1281.0
ga,tai15_15_02,15x15,V2H,24,1289.5
ga,tai15_15_02,15x15,V2H,25,1300.0
ga,tai15_15_02,15x15,V2H,26,1305.5
ga,tai15_15_02,15x15,V2H,27,1282.0
ga,tai15_15_02,15x15,V2H,28,1307.0
ga,tai15_15_02,15x15,V2H,29,1307.0
ga,tai15_15_02,15x15,V2H,30,1288.5
ga,tai15_15_02,15x15,V2,1,1287.5
ga,tai15_15_02,15x15,V2,2,1289.5
ga,tai15_15_02,15x15,V2,3,1289.0
ga,tai15_15_02,15x15,V2,4,1285.0
ga,tai15_15_02,15x15,V2,5,1300.0
ga,tai15_15_02,15x15,V2,6,1287.0
ga,tai15_15_02,15x15,V2,7,1289.5
ga,tai15_15_02,15x15,V2,8,1289.5
ga,tai15_15_02,15x15,V2,9,1287.5
ga,tai15_15_02,15x15,V2,10,1289.5
ga,tai15_15_02,15x15,V2,11,1291.5
ga,tai15_15_02,15x15,V2,12,1287.0
ga,tai15_15_02,15x15,V2,13,1299.5
ga,tai15_15_02,15x15,V2,14,1292.0
ga,tai15_15_02,15x15,V2,15,1281.0
ga,tai15_15_02,15x15,V2,16,1289.5
ga,tai15_15_02,15x15,V2,17,1287.5
ga,tai15_15_02,15x15,V2,18,1289.5
ga,tai15_15_02,15x15,V2,19,1282.0
ga,tai15_15_02,15x15,V2,20,1289.5
ga,tai15_15_02,15x15,V2,21,1285.5
ga,tai15_15_02,15x15,V2,22,1286.5
ga,tai15_15_02,15x15,V2,23,1296.0
ga,tai15_15_02,15x15,V2,24,1296.5
ga,tai15_15_02,15x15,V2,25,1307.0
ga,tai15_15_02,15x15,V2,26,1287.5
ga,tai15_15_02,15x15,V2,27,1291.5
ga,tai15_15_02,15x15,V2,28,1296.5
ga,tai15_15_02,15x15,V2,29,1287.0
ga,tai15_15_02,15x15,V2,30,1287.0
ga,tai15_15_02,15x15,MOR,1,1289.5
ga,tai15_15_02,15x15,MOR,2,1301.0
ga,tai15_15_02,15x15,MOR,3,1281.5
ga,tai15_15_02,15x15,MOR,4,1306.5
ga,tai15_15_02,15x15,MOR,5,1292.0
ga,tai15_15_02,15x15,MOR,6,1298.0
ga,tai15_15_02,15x15,MOR,7,1301.0
ga,tai15_15_02,15x15,MOR,8,1291.0
ga,tai15_15_02,15x15,MOR,9,1301.0
ga,tai15_15_02,15x15,MOR,10,1301.0
ga,tai15_15_02,15x15,MOR,11,1301.0
ga,tai15_15_02,15x15,MOR,12,1301.0
ga,tai15_15_02,15x15,MOR,13,1286.0
ga,tai15_15_02,15x15,MOR,14,1289.0
ga,tai15_15_02,15x15,MOR,15,1301.0
ga,tai15_15_02,15x15,MOR,16,1300.0
ga,tai15_15_02,15x15,MOR,17,1306.5
ga,tai15_15_02,15x15,MOR,18,1289.0
ga,tai15_15_02,15x15,MOR,19,1273.5
ga,tai15_15_02,15x15,MOR,20,1291.5
ga,tai15_15_02,15x15,MOR,21,1301.5
ga,tai15_15_02,15x15,MOR,22,1289.0
ga,tai15_15_02,15x15,MOR,23,1292.0
ga,tai15_15_02,15x15,MOR,24,1282.0
ga,tai15_15_02,15x15,MOR,25,1301.0
ga,tai15_15_02,15x15,MOR,26,1282.0
ga,tai15_15_02,15x15,MOR,27,1299.0
ga,tai15_15_02,15x15,MOR,28,1301.0
ga,tai15_15_02,15x15,MOR,29,1285.5
ga,tai15_15_02,15x15,MOR,30,1307.5
ga,tai15_15_02,15x15,GT,1,1305.0
ga,tai15_15_02,15x15,GT,2,1305.0
ga,tai15_15_02,15x15,GT,3,1305.0
ga,tai15_15_02,15x15,GT,4,1305.0
ga,tai15_15_02,15x15,GT,5,1304.0
ga,tai15_15_02,15x15,GT,6,1305.0
ga,tai15_15_02,15x15,GT,7,1305.0
ga,tai15_15_02,15x15,GT,8,1292.5
ga,tai15_15_02,15x15,GT,9,1305.0
ga,tai15_15_02,15x15,GT,10,1306.0
ga,tai15_15_02,15x15,GT,11,1301.0
ga,tai15_15_02,15x15,GT,12,1305.0
ga,tai15_15_02,15x15,GT,13,1305.0
ga,tai15_15_02,15x15,GT,14,1305.0
ga,tai15_15_02,15x15,GT,15,1289.5
ga,tai15_15_02,15x15,GT,16,1297.0
ga,tai15_15_02,15x15,GT,17,1292.5
ga,tai15_15_02,15x15,GT,18,1305.0
ga,tai15_15_02,15x15,GT,19,1305.0
ga,tai15_15_02,15x15,GT,20,1313.5
ga,tai15_15_02,15x15,GT,21,1305.0
ga,tai15_15_02,15x15,GT,22,1305.0
ga,tai15_15_02,15x15,GT,23,1305.0
ga,tai15_15_02,15x15,GT,24,1310.5
ga,tai15_15_02,15x15,GT,25,1304.0
ga,tai15_15_02,15x15,GT,26,1305.0
ga,tai15_15_02,15x15,GT,27,1299.5
ga,tai15_15_02,15x15,GT,28,1305.0
ga,tai15_15_02,15x15,GT,29,1299.5
ga,tai15_15_02,15x15,GT,30,1313.5
ga,tai15_15_02,15x15,GP,1,1280.0
ga,tai15_15_02,15x15,GP,2,1287.0
