"algo","inst","q_a0","q_arm","q_pool","gap","delta","ayuda"
"feabcls","tai15_15_04",1190.91666666667,1189.16666666667,1409.47,18.3516898747463,-0.146945630116857,TRUE
"feabcls","tai15_15_05",1249.21666666667,1246.7,1410.69,12.925966939282,-0.201459581337637,TRUE
"feabcls","tai15_15_06",1268.58333333333,1264.4,1414.11,11.4715890428956,-0.329764172633502,TRUE
"feabcls","tai15_15_07",1254.58333333333,1257.65,1405.26,12.0100963135171,0.24443706409832,FALSE
"feabcls","tai15_15_08",1237.01666666667,1253.81666666667,1425.95,15.2733053987416,1.35810619635952,FALSE
"feabcls","tai15_15_09",1310.18333333333,1306.85,1523.02,16.2448003460075,-0.254417320731207,TRUE
"feabcls","tai15_15_10",1264.31666666667,1261.45,1461.07,15.562029554832,-0.226736445247095,TRUE
"feabcls","tai20_20_01",1707.75,1699.15,1941.24,13.6723759332455,-0.503586590543107,TRUE
"feabcls","tai20_20_02",1657.26666666667,1661.58333333333,1902.28,14.7841827909409,0.260469045416143,FALSE
"feabcls","tai20_20_03",1612.61666666667,1605.56666666667,1829.12,13.4255919468359,-0.437177671899705,TRUE
"feabcls","tai20_20_04",1709.41666666667,1717.93333333333,1903.05,11.3274508848048,0.498220640569394,FALSE
"feabcls","tai20_20_05",1662.2,1671.95,1886.75,13.5092046685116,0.586572012994826,FALSE
"feabcls","tai20_20_06",1718.31666666667,1705.35,1912.15,11.2804197906866,-0.754614496745848,TRUE
"feabcls","tai20_20_07",1736.48333333333,1737.61666666667,1997.43,15.0273061455624,0.0652660069680991,FALSE
"feabcls","tai20_20_08",1658.93333333333,1658.58333333333,1885.54,13.6597813856293,-0.0210978942292318,TRUE
"feabcls","tai20_20_09",1656.95,1658.36666666667,1906.4,15.0547693050484,0.0854984559984619,FALSE
"feabcls","tai20_20_10",1641.18333333333,1639.51666666667,1902.97,15.9510921997339,-0.101552741416259,TRUE
"feabcls","tai30_15_01",1800.91666666667,1797.9,2169.98,20.4930822266438,-0.167507287955207,TRUE
"feabcls","tai30_15_02",1869.4,1874.2,2226.59,19.1072001711779,0.256766877072855,FALSE
"feabcls","tai30_15_03",1878.06666666667,1866.81666666667,2265.74,20.6421497284441,-0.59902026907103,TRUE
"feabcls","tai30_15_04",1915.7,1906.03333333333,2217.98,15.7790885838075,-0.504602321170681,TRUE
"feabcls","tai30_15_05",2014.43333333333,2020.11666666667,2209.19,9.66806215147353,0.282130623996815,FALSE
"feabcls","tai30_15_06",1871.23333333333,1868.06666666667,2229.24,19.1321231986034,-0.169228850847039,TRUE
"feabcls","tai30_15_07",1846.33333333333,1840.08333333333,2224.25,20.4684961184329,-0.338508756093158,TRUE
"feabcls","tai30_15_08",1744.88333333333,1745.53333333333,2040.23,16.9264420734911,0.0372517742351368,FALSE
"feabcls","tai30_15_09",1839.33333333333,1835.23333333333,2117.35,15.1150779267851,-0.222906850308078,TRUE
"feabcls","tai30_15_10",1755.98333333333,1761.41666666667,2101.92,19.7004527377823,0.309418274660925,FALSE
"feabcls","tai30_20_01",2127.03333333333,2133.78333333333,2517.56,18.3601573396436,0.317343404742129,FALSE
"feabcls","tai30_20_02",2030.1,2021.41666666667,2411.89,18.8064627358258,-0.427729340098181,TRUE
"feabcls","tai30_20_03",1966.33333333333,1942.56666666667,2317.51,17.8594677063909,-1.20867943719274,TRUE
