"inst","clase","arm","frac","rpd"
"tai30_15_06","30x15","V2",1,-0.208277703604811
"tai30_15_06","30x15","MOR",1,1.92256341789052
"tai30_15_06","30x15","GT",1,0.528704939919898
"tai30_15_06","30x15","GP",1,-0.170894526034715
"tai30_15_06","30x15","MIX",1,-0.464619492656878
"tai30_15_07","30x15","A0",0.05,7.57534618517513
"tai30_15_07","30x15","V2H",0.05,6.64132500678794
"tai30_15_07","30x15","V2",0.05,7.60792831930491
"tai30_15_07","30x15","MOR",0.05,5.8267716535433
"tai30_15_07","30x15","GT",0.05,4.07276676622319
"tai30_15_07","30x15","GP",0.05,4.85473798533805
"tai30_15_07","30x15","MIX",0.05,4.56692913385826
"tai30_15_07","30x15","A0",0.1,4.34428455063807
"tai30_15_07","30x15","V2H",0.1,3.1278848764594
"tai30_15_07","30x15","V2",0.1,3.12245452077111
"tai30_15_07","30x15","MOR",0.1,4.80586478414336
"tai30_15_07","30x15","GT",0.1,2.55226717349986
"tai30_15_07","30x15","GP",0.1,2.12869942981266
"tai30_15_07","30x15","MIX",0.1,2.6988867770839
"tai30_15_07","30x15","A0",0.25,0.564756991582954
"tai30_15_07","30x15","V2H",0.25,0.733098017920174
"tai30_15_07","30x15","V2",0.25,0.564756991582954
"tai30_15_07","30x15","MOR",0.25,1.99837089329351
"tai30_15_07","30x15","GT",0.25,1.00461580233505
"tai30_15_07","30x15","GP",0.25,0.564756991582954
"tai30_15_07","30x15","MIX",0.25,0.358403475427636
"tai30_15_07","30x15","A0",0.5,0.314960629921257
"tai30_15_07","30x15","V2H",0.5,0.293239207168074
"tai30_15_07","30x15","V2",0.5,0.477871300570185
"tai30_15_07","30x15","MOR",0.5,2.03638338311159
"tai30_15_07","30x15","GT",0.5,0.276948140103172
"tai30_15_07","30x15","GP",0.5,0.119467825142549
"tai30_15_07","30x15","MIX",0.5,0.190062449090415
"tai30_15_07","30x15","A0",1,0.108607113765952
"tai30_15_07","30x15","V2H",1,0.282378495791477
"tai30_15_07","30x15","V2",1,0.276948140103172
"tai30_15_07","30x15","MOR",1,1.89519413521586
"tai30_15_07","30x15","GT",1,0.228074938908501
"tai30_15_07","30x15","GP",1,-0.114037469454244
"tai30_15_07","30x15","MIX",1,-0.0434428455063782
"tai30_15_08","30x15","A0",0.05,7.57990867579908
"tai30_15_08","30x15","V2H",0.05,9.40068493150685
"tai30_15_08","30x15","V2",0.05,7.1175799086758
"tai30_15_08","30x15","MOR",0.05,6.23858447488584
"tai30_15_08","30x15","GT",0.05,4.77739726027397
"tai30_15_08","30x15","GP",0.05,5.74771689497717
"tai30_15_08","30x15","MIX",0.05,6.55251141552511
"tai30_15_08","30x15","A0",0.1,4.14954337899544
"tai30_15_08","30x15","V2H",0.1,5.29109589041096
"tai30_15_08","30x15","V2",0.1,5.64497716894978
"tai30_15_08","30x15","MOR",0.1,3.83561643835617
"tai30_15_08","30x15","GT",0.1,3.92123287671233
"tai30_15_08","30x15","GP",0.1,3.20776255707763
"tai30_15_08","30x15","MIX",0.1,3.99543378995434
"tai30_15_08","30x15","A0",0.25,-0.0856164383561644
"tai30_15_08","30x15","V2H",0.25,0.878995433789959
"tai30_15_08","30x15","V2",0.25,1.62671232876712
"tai30_15_08","30x15","MOR",0.25,2.0662100456621
"tai30_15_08","30x15","GT",0.25,0.964611872146124
"tai30_15_08","30x15","GP",0.25,0.43949771689498
"tai30_15_08","30x15","MIX",0.25,1.13013698630137
"tai30_15_08","30x15","A0",0.5,-0.211187214611875
"tai30_15_08","30x15","V2H",0.5,-0.450913242009138
"tai30_15_08","30x15","V2",0.5,-0.0913242009132368
"tai30_15_08","30x15","MOR",0.5,1.3527397260274
"tai30_15_08","30x15","GT",0.5,0.519406392694059
"tai30_15_08","30x15","GP",0.5,-0.171232876712329
"tai30_15_08","30x15","MIX",0.5,-0.445205479452052
